Blink Count,Time start,Time end
1,0.015505,0.015505
2,0.09565,0.09565
3,0.937172,0.937172
4,1.167583,1.227675
5,1.418042,1.418042
6,2.419855,2.419855
7,2.459926,2.530047
8,2.700362,2.700362
9,2.780507,2.780507
10,3.14116,3.14116
11,3.161142,3.161142
12,3.181232,3.181232
13,3.341523,3.341523
14,3.46174,3.46174
15,3.501813,3.501813
16,3.541885,3.541885
17,3.561867,3.561867
18,3.581958,3.581958
19,3.601939,3.601939
20,3.62203,3.62203
21,3.642012,3.642012
22,3.662103,3.662103
23,3.682084,3.682084
24,3.702176,3.702176
25,3.742247,3.742247
26,3.762229,3.762229
27,3.78232,3.78232
28,3.802301,3.802301
29,3.822392,3.822392
30,3.842374,3.842374
31,3.862465,3.862465
32,3.882447,3.882447
33,3.902538,3.902538
34,3.922518,3.922518
35,3.94261,3.94261
36,3.962591,3.962591
37,3.982682,3.982682
38,4.002664,4.002664
39,4.022755,4.022755
40,4.042736,4.042736
41,4.062827,4.062827
42,4.082809,4.082809
43,4.1029,4.1029
44,4.122881,4.122881
45,4.142973,4.142973
46,4.162954,4.162954
47,4.183045,4.183045
48,4.203026,4.203026
49,4.223117,4.223117
50,4.243098,4.243098
51,4.26319,4.26319
52,4.283171,4.283171
53,4.303263,4.303263
54,4.323244,4.323244
55,4.343335,4.343335
56,4.363317,4.363317
57,4.383407,4.383407
58,4.403389,4.403389
59,4.42348,4.42348
60,4.443461,4.443461
61,4.463552,4.463552
62,4.483533,4.483533
63,4.503625,4.503625
64,4.523606,4.523606
65,4.543697,4.553693
66,4.58377,4.58377
67,4.603751,4.603751
68,4.623843,4.623843
69,4.74406,4.74406
70,4.764041,4.764041
71,4.784133,4.784133
72,4.804113,4.804113
73,4.824205,4.824205
74,4.844186,4.844186
75,4.864277,4.864277
76,4.884259,4.884259
77,4.90435,4.90435
78,4.924331,4.924331
79,4.944422,4.944422
80,4.964404,4.964404
81,4.984495,4.984495
82,5.004476,5.004476
83,5.024567,5.024567
84,5.044548,5.044548
85,5.06464,5.06464
86,5.084621,5.084621
87,5.104712,5.104712
88,5.124693,5.124693
89,5.144785,5.144785
90,5.164766,5.164766
91,5.184858,5.184858
92,5.204839,5.204839
93,5.22493,5.22493
94,5.465365,5.465365
95,5.745872,5.745872
96,6.34696,6.34696
97,6.366941,6.366941
98,6.387032,6.387032
99,6.407013,6.407013
100,6.427105,6.427105
101,6.447086,6.447086
102,6.467177,6.467177
103,6.487158,6.487158
104,6.50725,6.50725
105,6.787758,6.787758
106,6.827831,6.827831
107,6.847811,6.847811
108,6.867903,6.867903
109,6.887884,6.887884
110,6.907975,6.907975
111,9.512688,9.512688
112,12.317763,12.317763
113,12.478053,12.478053
114,13.479865,13.479865
115,13.519938,13.610079
116,14.621875,14.621875
117,14.641967,14.641967
118,14.661949,14.661949
119,14.682039,14.682039
120,14.762185,14.762185
121,14.84233,14.84233
122,14.982529,14.982529
123,15.00262,15.00262
124,15.022601,15.022601
125,15.042693,15.042693
126,15.062674,15.062674
127,15.082765,15.082765
128,15.102746,15.102746
129,15.122837,15.172905
130,17.146444,17.146444
131,17.166535,17.166535
132,17.326825,17.326825
133,18.328637,18.328637
134,19.17016,19.17016
135,19.711083,19.711083
136,20.492553,20.492553
137,20.893277,20.893277
138,20.913259,20.913259
139,20.93335,20.93335
140,20.973422,20.973422
141,20.993404,20.993404
142,21.013495,21.013495
143,21.073549,21.073549
144,21.113621,21.113621
145,21.133712,21.133712
146,21.153693,21.153693
147,21.173785,21.173785
148,21.193766,21.193766
149,22.37596,22.37596
150,22.977047,22.977047
151,23.217483,23.217483
152,23.237464,23.237464
153,23.257555,23.257555
154,23.277537,23.277537
155,23.297627,23.297627
156,23.317609,23.317609
157,23.3377,23.3377
158,23.357681,23.357681
159,23.377772,23.377772
160,23.397753,23.397753
161,23.417845,23.417845
162,23.437827,23.437827
163,23.457918,23.457918
164,23.477899,23.477899
165,23.49799,23.49799
166,23.517971,23.517971
167,23.538062,23.538062
168,23.558044,23.558044
169,23.578135,23.578135
170,23.598116,23.598116
171,23.618208,23.618208
172,23.638189,23.638189
173,23.65828,23.65828
174,23.698353,23.768473
175,24.419657,24.419657
176,24.439639,24.439639
177,24.45973,24.45973
178,24.519784,24.519784
179,24.539875,24.539875
180,24.559857,24.559857
181,24.579948,24.579948
182,24.599929,24.599929
183,24.62002,24.62002
184,24.640002,24.640002
185,24.660092,24.660092
186,24.680074,24.680074
187,24.760219,24.760219
188,24.78031,24.78031
189,24.800291,24.800291
190,24.820383,24.820383
191,24.840363,24.840363
192,24.860455,24.860455
193,24.880436,24.880436
194,24.900527,24.900527
195,24.920509,24.920509
196,24.9406,24.9406
197,24.960581,24.960581
198,24.980673,24.980673
199,25.000654,25.000654
200,25.020745,25.020745
201,25.040726,25.040726
202,25.060817,25.060817
203,25.080799,25.080799
204,25.10089,25.10089
205,25.120871,25.120871
